Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
327,Andrew Nicholson,PF,26,ORL,56,0,823,146,310,41,114,105,196,51,65,34,167,201,25,10,22,41,69,384
328,Joakim Noah,C,30,CHI,29,2,635,51,133,0,1,51,132,22,45,87,168,255,110,18,29,52,77,124
329,Nerlens Noel,C,21,PHI,67,62,1965,306,587,1,2,305,585,134,227,154,388,542,122,118,100,158,192,747
330,Lucas Nogueira,C,23,TOR,29,1,225,28,44,1,3,27,41,8,15,18,28,46,7,12,12,11,29,65
331,Steve Novak,PF,32,TOT,10,0,44,8,18,7,15,1,3,1,1,0,5,5,0,0,0,1,3,24
331,Steve Novak,PF,32,OKC,7,0,24,6,12,5,9,1,3,0,0,0,4,4,0,0,0,1,1,17
331,Steve Novak,PF,32,MIL,3,0,20,2,6,2,6,0,0,1,1,0,1,1,0,0,0,0,2,7
332,Dirk Nowitzki,PF,37,DAL,75,75,2364,498,1112,126,342,372,770,250,280,52,437,489,132,52,52,84,161,1372
333,Jusuf Nurkic,C,21,DEN,32,3,547,101,242,0,3,101,239,61,99,65,110,175,40,24,44,55,91,263
334,J.J. O'Brien,SF,23,UTA,2,0,6,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0
335,Johnny O'Bryant,PF,22,MIL,66,4,857,86,209,1,1,85,208,27,40,65,111,176,32,18,8,31,100,200
336,Kyle O'Quinn,PF,25,NYK,65,1,764,129,271,5,22,124,249,46,60,76,174,250,72,20,49,61,107,309
337,Jahlil Okafor,C,20,PHI,53,48,1591,397,781,1,6,396,775,133,194,122,251,373,65,22,61,124,140,928
338,Victor Oladipo,SG,23,ORL,72,52,2379,425,970,98,282,327,688,205,247,48,297,345,282,116,54,153,174,1153
339,Kelly Olynyk,C,24,BOS,69,8,1395,253,556,85,210,168,346,96,128,72,209,281,105,52,33,74,163,687
340,Kelly Oubre,SF,20,WAS,63,9,671,90,211,25,79,65,132,31,49,25,108,133,13,22,7,34,100,236
341,Zaza Pachulia,C,31,DAL,76,69,2004,219,470,0,3,219,467,212,276,249,469,718,128,64,22,119,181,650
342,Kostas Papanikolaou,SF,25,DEN,26,6,294,24,66,10,32,14,34,9,14,8,32,40,16,13,5,21,24,67
343,Jabari Parker,PF,20,MIL,76,72,2408,443,899,9,35,434,864,175,228,123,272,395,130,69,29,116,154,1070
344,Tony Parker,PG,33,SAS,72,72,1980,350,710,27,65,323,645,130,171,17,159,176,379,54,11,131,114,857
345,Chandler Parsons,SF,27,DAL,61,51,1799,320,651,104,251,216,400,93,136,29,256,285,169,46,21,95,114,837
346,Lamar Patterson,SG,24,ATL,35,0,395,28,80,12,49,16,31,16,22,4,46,50,39,9,2,23,45,84
347,Patrick Patterson,PF,26,TOR,79,0,2020,204,493,106,293,98,200,29,34,77,265,342,94,53,32,65,128,543
348,Chris Paul,PG,30,LAC,74,74,2420,515,1114,122,329,393,785,294,328,39,271,310,738,152,13,194,185,1446
349,Adreian Payne,PF,24,MIN,52,2,486,53,145,9,32,44,113,17,26,20,91,111,29,16,11,36,77,132
350,Cameron Payne,PG,21,OKC,57,1,698,114,278,36,111,78,167,19,24,9,76,85,108,36,6,44,80,283
351,Elfrid Payton,PG,21,ORL,73,69,2145,318,730,30,92,288,638,112,190,77,184,261,468,89,20,177,159,778
352,Nikola Pekovic,C,30,MIN,12,3,156,19,50,0,0,19,50,16,20,7,14,21,11,1,0,9,22,54
353,Kendrick Perkins,C,31,NOP,37,5,542,40,75,0,0,40,75,11,25,25,103,128,31,11,11,41,64,91
